<검색방법>
 종목코드 | A | B | C | D | E | F | G | H | I | 결과1 | 결과2 |
Search kospi: 
 code:006400 | X | X | O | X | X | O | X | X | 5 | ........ | ........ |
 code:006405 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:006490 | O | O | O | X | X | O | X | X | 5 | ........ | ........ |
 code:006570 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:006650 | X | X | O | X | X | O | X | X | 5 | ........ | ........ |
 code:006660 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:006740 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:006800 | X | X | O | X | X | O | X | X | 5 | ........ | ........ |
 code:006805 | X | X | O | O | O | X | X | X | 5 | ........ | ........ |
 code:006840 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:006880 | O | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:006890 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:006980 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:007070 | X | O | O | X | X | O | X | X | 5 | ........ | ........ |
 code:007110 | X | X | X | X | X | X | X | X | 5 | ........ | ........ |
 code:007120 | X | X | X | X | X | X | X | X | 5 | ........ | ........ |
 code:007160 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:007190 | X | X | X | X | X | X | X | X | 5 | ........ | ........ |
 code:007197 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:007210 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:007280 | X | X | X | X | X | X | X | X | 5 | ........ | ........ |
 code:007310 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:007340 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:007460 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:007540 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:007570 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:007575 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:007590 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:007610 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:007630 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:007660 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:007690 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:007700 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:007810 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:007815 | O | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:00781K | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:007860 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:007980 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
